group_task,group_id,group_size,Omega_hat,task_id,revised_woc,initial_woc,influence,dataset,theta,revised_mse,initial_mse,revised_abs_error,initial_abs_error,revised_mse_zscore,initial_mse_zscore,revised_abs_error_zscore,initial_abs_error_zscore,improved
081117_1548_lorenz2017_task_10067,081117_1548,12,0.4721999999999643,lorenz2017_task_10067,20671.916666666668,39466.583333333336,1,lorenz2011,12000.0,75202138.67361113,754413200.0069445,8671.916666666668,27466.583333333336,-0.2683033096596143,0.8367075727891806,0.010692860489137488,0.9713289032794696,True
081117_1548_lorenz2017_task_198,081117_1548,12,0.6316999999999467,lorenz2017_task_198,95.83333333333333,93.0,0,lorenz2011,92.0,14.694444444444407,1.0,3.8333333333333286,1.0,-0.35639984770549016,-0.5210964088998378,-0.5055007187749658,-0.8239543328809014,False
081117_1548_lorenz2017_task_639,081117_1548,12,0.6542999999999443,lorenz2017_task_639,253.41666666666666,292.5,1,lorenz2011,98.0,24154.340277777774,37830.25,155.41666666666666,194.5,-0.28867513855247623,-0.833594489572087,-0.2887348465693917,-1.0539086973085223,True
081117_1548_lorenz2017_task_9272,081117_1548,12,0.6947999999999398,lorenz2017_task_9272,4845.416666666667,90690.33333333333,1,lorenz2011,806.0,16316887.006944448,8079193378.777777,4039.416666666667,89884.33333333333,-0.343206819263432,-0.28048014741768057,-0.49592072856858616,-0.09404870754755856,True
081118_1545_lorenz2017_task_184,081118_1545,12,0.4175999999999703,lorenz2017_task_184,372.3333333333333,1901.5833333333333,1,lorenz2011,430.0,3325.4444444444466,2165557.506944444,57.666666666666686,1471.5833333333333,-0.3015378081246041,-0.27762485140959264,-0.4186620338397534,-0.14395305031859723,True
081118_1545_lorenz2017_task_734,081118_1545,12,0.4920999999999621,lorenz2017_task_734,667.5833333333334,682.5,0,lorenz2011,350.0,100859.17361111114,110556.25,317.58333333333337,332.5,-0.2886751345350687,-0.288675147107854,-0.2886647020819636,-0.28874526035627357,True
081118_1545_lorenz2017_task_10067,081118_1545,12,0.4721999999999643,lorenz2017_task_10067,8975.0,15900.0,1,lorenz2011,12000.0,9150625.0,15210000.0,3025.0,3900.0,-0.5721603015605194,-0.8177074203982806,-0.688371592309134,-0.9654823789591186,True
081118_1545_lorenz2017_task_198,081118_1545,12,0.6316999999999467,lorenz2017_task_198,224.41666666666666,394.5833333333333,1,lorenz2011,92.0,17534.17361111111,91556.6736111111,132.41666666666666,302.5833333333333,-0.3551694321884835,-0.4845613000350066,-0.4436525708865766,-0.490400180841305,True
081118_1545_lorenz2017_task_639,081118_1545,12,0.6542999999999443,lorenz2017_task_639,1847.25,2130.0833333333335,0,lorenz2011,98.0,3059875.5625,4129362.673611112,1749.25,2032.0833333333335,-0.2886751370381709,1.9181488984911543,-0.2886685910153636,1.6197331661720324,True
081118_1545_lorenz2017_task_9272,081118_1545,12,0.6947999999999398,lorenz2017_task_9272,26775.0,62612.5,1,lorenz2011,806.0,674388961.0,3820043442.25,25969.0,61806.5,-0.33132775078838067,-0.29506231446159803,-0.3226705094218188,-0.19097779548751187,True
